Length,RMSE,R2
0,0.4231215876336225,0.0
1,0.3088598959934318,0.4555883698514047
2,0.2859738365114502,0.5461741699336775
3,0.2603612253745083,0.623148760727299
4,0.255666549058178,0.6293618697768074
5,0.2463668509717954,0.6763766515642624
6,0.2392027063473554,0.6763766515642624
7,0.2311567097103881,0.7049145087978801
8,0.2279471147259155,0.7049145087978801
9,0.2149508299267805,0.7403220381394922
10,0.2017060062649794,0.7691142663210744
11,0.1993898377273852,0.7773308151290743
12,0.1895036819848784,0.7994873580741472
13,0.1895036819848784,0.7994873580741472
14,0.1770256713809577,0.8226093124849022
15,0.1770256713809577,0.8226093124849022
16,0.1727913140599251,0.8271355288903666
17,0.1707415309721968,0.846025013923645
18,0.1674628425900529,0.846025013923645
19,0.1674628425900529,0.846025013923645
20,0.1661645027987704,0.846025013923645
21,0.1661645027987704,0.846025013923645
22,0.1647418515936469,0.8461636543273926
23,0.1613345285611301,0.852353036403656
24,0.1593502622943364,0.852353036403656
25,0.1593502622943364,0.852832579612732
26,0.1593502622943364,0.852832579612732
27,0.1593502622943364,0.8561402082443237
28,0.1520097442958619,0.8721485137939453
29,0.1493530069535143,0.8722875595092774
30,0.1493530069535143,0.8724435806274414
31,0.1462344214010658,0.8813857913017273
32,0.1462344214010658,0.8813857913017273
33,0.1462344214010658,0.8813857913017273
34,0.1462344214010658,0.8813857913017273
35,0.1462344214010658,0.8813857913017273
36,0.1462344214010658,0.8813857913017273
37,0.1462344214010658,0.8813857913017273
38,0.1462344214010658,0.8817408323287964
39,0.1462344214010658,0.8817408323287964
40,0.1462344214010658,0.8817408323287964
41,0.1462344214010658,0.8817408323287964
42,0.1359564220536304,0.8913920760154724
43,0.1359564220536304,0.8913920760154724
44,0.1359564220536304,0.8913920760154724
45,0.1334519632052168,0.9013433575630188
46,0.1334519632052168,0.9013433575630188
47,0.1334519632052168,0.9013433575630188
48,0.1334519632052168,0.9013433575630188
49,0.1334519632052168,0.9013433575630188
50,0.1334519632052168,0.9013433575630188
51,0.1334519632052168,0.9013433575630188
52,0.1334519632052168,0.9013433575630188
53,0.1334519632052168,0.9013433575630188
54,0.1334519632052168,0.9013433575630188
55,0.1334519632052168,0.9013433575630188
56,0.1334519632052168,0.9013433575630188
57,0.1334519632052168,0.9013433575630188
58,0.1334519632052168,0.9013433575630188
59,0.1334519632052168,0.9013433575630188
60,0.1334519632052168,0.9013433575630188
61,0.1334519632052168,0.9013433575630188
62,0.1334519632052168,0.9013433575630188
63,0.1334519632052168,0.9013433575630188
64,0.1334519632052168,0.9013433575630188
65,0.1334519632052168,0.9013433575630188
66,0.1334519632052168,0.9013433575630188
67,0.1334519632052168,0.9013433575630188
68,0.1327424206322145,0.9013433575630188
69,0.1327424206322145,0.9013433575630188
70,0.1327424206322145,0.9013433575630188
71,0.1327424206322145,0.9013433575630188
72,0.1327424206322145,0.9013433575630188
73,0.1327424206322145,0.9013433575630188
74,0.1327424206322145,0.9013433575630188
75,0.1327424206322145,0.9013433575630188
76,0.1327424206322145,0.9013433575630188
77,0.1327424206322145,0.9013433575630188
78,0.1327424206322145,0.9013433575630188
79,0.1313481260491696,0.9032005786895752
80,0.1313481260491696,0.9032005786895752
81,0.1283001869476676,0.9074455022811888
82,0.1283001869476676,0.9074455022811888
83,0.1283001869476676,0.9074455022811888
84,0.1283001869476676,0.9074455022811888
85,0.1283001869476676,0.9074455022811888
86,0.1283001869476676,0.9074455022811888
87,0.1283001869476676,0.9074455022811888
88,0.1283001869476676,0.9084450125694274
89,0.1250775021782202,0.9084450125694274
90,0.1250775021782202,0.9084450125694274
91,0.1250775021782202,0.9084450125694274
92,0.1250775021782202,0.9129565119743348
93,0.1250775021782202,0.9129565119743348
94,0.1250775021782202,0.9129565119743348
95,0.1250775021782202,0.9129565119743348
96,0.1250775021782202,0.9129565119743348
97,0.1250775021782202,0.9129565119743348
98,0.1250775021782202,0.9129565119743348
99,0.1250775021782202,0.9129565119743348
100,0.1248431481757245,0.9129565119743348
101,0.1248431481757245,0.9129565119743348
102,0.1248431481757245,0.9129565119743348
103,0.124496966342101,0.9129565119743348
104,0.124496966342101,0.9129565119743348
105,0.124496966342101,0.9129565119743348
106,0.124496966342101,0.9129565119743348
107,0.124496966342101,0.9129565119743348
108,0.124496966342101,0.9129565119743348
109,0.1241916633611533,0.9142825484275818
110,0.1241916633611533,0.9142825484275818
111,0.1241916633611533,0.9142825484275818
112,0.1241916633611533,0.9142825484275818
113,0.1241916633611533,0.9142825484275818
114,0.1241916633611533,0.9142825484275818
115,0.1241916633611533,0.9142825484275818
116,0.1241916633611533,0.9142825484275818
117,0.1241916633611533,0.9142825484275818
118,0.1241916633611533,0.9142825484275818
119,0.1241916633611533,0.9142825484275818
120,0.1241916633611533,0.9142825484275818
121,0.1239501580386192,0.9142825484275818
122,0.1239501580386192,0.9144031286239624
123,0.1239501580386192,0.9144031286239624
124,0.1239501580386192,0.9144031286239624
125,0.1239501580386192,0.9144031286239624
126,0.1239501580386192,0.9144031286239624
127,0.1239501580386192,0.9144031286239624
128,0.1212758137607028,0.9167150855064392
129,0.1212758137607028,0.9167150855064392
130,0.1212758137607028,0.9167150855064392
131,0.1212758137607028,0.9167150855064392
132,0.1212758137607028,0.9167150855064392
133,0.1212758137607028,0.9167150855064392
134,0.1212758137607028,0.9167150855064392
135,0.1212758137607028,0.9167150855064392
136,0.1212758137607028,0.9167150855064392
137,0.1212758137607028,0.9167150855064392
138,0.1212758137607028,0.9167150855064392
139,0.1212758137607028,0.9167150855064392
140,0.1212758137607028,0.9167150855064392
141,0.1212758137607028,0.9167150855064392
142,0.1193934653506854,0.9206394076347352
143,0.1193934653506854,0.9206394076347352
144,0.1193934653506854,0.9206394076347352
145,0.1193934653506854,0.9206394076347352
146,0.1193934653506854,0.9206394076347352
147,0.1193934653506854,0.9206394076347352
148,0.1193934653506854,0.9206394076347352
149,0.1192987304739928,0.9206394076347352
150,0.1179613055581859,0.9264522910118104
151,0.1179613055581859,0.9264522910118104
152,0.1179613055581859,0.9264522910118104
153,0.1179613055581859,0.9264522910118104
154,0.1179613055581859,0.9264522910118104
155,0.1179613055581859,0.9264522910118104
156,0.1179613055581859,0.9264522910118104
157,0.1179613055581859,0.9264522910118104
158,0.1179613055581859,0.9264522910118104
159,0.1179613055581859,0.9264522910118104
160,0.1179613055581859,0.9264522910118104
161,0.1179613055581859,0.9264522910118104
162,0.1179613055581859,0.9264522910118104
163,0.1179613055581859,0.9264522910118104
164,0.1179613055581859,0.9264522910118104
165,0.1179613055581859,0.9264522910118104
166,0.1179613055581859,0.9264522910118104
167,0.1179613055581859,0.9264522910118104
168,0.1171233710378556,0.9264522910118104
169,0.1171233710378556,0.9264522910118104
170,0.1171233710378556,0.9264522910118104
171,0.1171233710378556,0.9264522910118104
172,0.1171233710378556,0.9264522910118104
173,0.1171233710378556,0.9264522910118104
174,0.1171233710378556,0.9264522910118104
175,0.1171233710378556,0.9264522910118104
176,0.1171233710378556,0.9264522910118104
177,0.1171233710378556,0.9264522910118104
178,0.1171233710378556,0.9264522910118104
179,0.1171233710378556,0.9264522910118104
180,0.1171233710378556,0.9264522910118104
181,0.1171233710378556,0.9264522910118104
182,0.1171233710378556,0.9264522910118104
183,0.1171233710378556,0.9264522910118104
184,0.1171233710378556,0.9264522910118104
185,0.1171233710378556,0.9264522910118104
186,0.1171233710378556,0.9264522910118104
187,0.1171233710378556,0.9264522910118104
188,0.1171233710378556,0.9264522910118104
189,0.1171233710378556,0.9264522910118104
190,0.1171233710378556,0.9264522910118104
191,0.1171233710378556,0.9264522910118104
192,0.1171233710378556,0.9264522910118104
193,0.1171233710378556,0.9264522910118104
194,0.1171233710378556,0.9264522910118104
195,0.1171233710378556,0.9264522910118104
196,0.1171233710378556,0.9264522910118104
197,0.1171233710378556,0.9264522910118104
198,0.1171233710378556,0.9264522910118104
199,0.1169118746639083,0.9264522910118104
200,0.1169118746639083,0.9264522910118104
201,0.1169118746639083,0.9264522910118104
202,0.1169118746639083,0.9264522910118104
203,0.1169118746639083,0.9264522910118104
204,0.1169118746639083,0.9264522910118104
205,0.1169118746639083,0.9264522910118104
206,0.1169118746639083,0.9264522910118104
207,0.1169118746639083,0.9264522910118104
208,0.1169118746639083,0.9264522910118104
209,0.1169118746639083,0.9264522910118104
210,0.1169118746639083,0.9264522910118104
211,0.1169118746639083,0.9264522910118104
212,0.1169118746639083,0.9264522910118104
213,0.1169118746639083,0.9264522910118104
214,0.1169118746639083,0.9264522910118104
215,0.1169118746639083,0.9264522910118104
216,0.1146663671415023,0.9264522910118104
217,0.1146663671415023,0.9264522910118104
218,0.1146663671415023,0.9264522910118104
219,0.1146663671415023,0.9264522910118104
220,0.1146663671415023,0.9264522910118104
221,0.1146663671415023,0.9264522910118104
222,0.1146663671415023,0.9264522910118104
223,0.1146663671415023,0.9264522910118104
224,0.1146663671415023,0.9264522910118104
225,0.1146663671415023,0.9264522910118104
226,0.1146663671415023,0.9264522910118104
227,0.1146663671415023,0.9264522910118104
228,0.1146663671415023,0.9264522910118104
229,0.1146663671415023,0.9264522910118104
230,0.1146663671415023,0.9264522910118104
231,0.1146663671415023,0.9264522910118104
232,0.1146663671415023,0.9264522910118104
233,0.1146663671415023,0.9264522910118104
234,0.1146663671415023,0.9264522910118104
235,0.1146663671415023,0.9264522910118104
236,0.1146663671415023,0.9264522910118104
237,0.1146663671415023,0.9264522910118104
238,0.1146663671415023,0.9264522910118104
239,0.1146663671415023,0.9264522910118104
240,0.1146663671415023,0.9264522910118104
241,0.1146663671415023,0.9264522910118104
242,0.1146663671415023,0.9264522910118104
243,0.1146663671415023,0.9264522910118104
244,0.1146663671415023,0.9264522910118104
245,0.1146663671415023,0.9264522910118104
246,0.1146663671415023,0.9264522910118104
247,0.1146663671415023,0.9264522910118104
248,0.1146663671415023,0.9264522910118104
249,0.1146663671415023,0.9264522910118104
250,0.1146663671415023,0.9264522910118104
251,0.1146663671415023,0.9264522910118104
252,0.1146663671415023,0.9264522910118104
253,0.1146663671415023,0.9264522910118104
254,0.1146663671415023,0.9264522910118104
255,0.1146663671415023,0.9264522910118104
256,0.1146663671415023,0.9264522910118104
257,0.1146663671415023,0.9264522910118104
258,0.1146663671415023,0.9264522910118104
259,0.1146663671415023,0.9264522910118104
260,0.1146663671415023,0.9264522910118104
261,0.1146663671415023,0.9264522910118104
262,0.1146663671415023,0.9264522910118104
263,0.1146663671415023,0.9264522910118104
264,0.1146663671415023,0.9264522910118104
265,0.1146663671415023,0.9264522910118104
266,0.1146663671415023,0.9264522910118104
267,0.1146663671415023,0.9264522910118104
268,0.1146663671415023,0.9264522910118104
269,0.1146663671415023,0.9264522910118104
270,0.1146663671415023,0.9264522910118104
271,0.1146663671415023,0.9264522910118104
272,0.1146663671415023,0.9264522910118104
273,0.1146663671415023,0.9264522910118104
274,0.1146663671415023,0.9264522910118104
275,0.1146663671415023,0.9264522910118104
276,0.1146663671415023,0.9264522910118104
277,0.1146663671415023,0.9264522910118104
278,0.1146663671415023,0.9264522910118104
279,0.1146663671415023,0.9264522910118104
280,0.1146663671415023,0.9264522910118104
281,0.1146663671415023,0.9264522910118104
282,0.1146663671415023,0.9264522910118104
283,0.1146663671415023,0.9264522910118104
284,0.1146663671415023,0.9264522910118104
